ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0461879876777,0.00833098243629,0.0764796919295,0.111857108337,0.75714422962
2,0.610061927902,0.00937026152031,0.0399281826852,0.178822261479,0.161817366414
3,0.630101821032,0.00574867865204,0.040309799891,0.103686377354,0.220153323071
4,0.097218472358,0.00727605519511,0.07583325359,0.0978363031215,0.721835915735
5,0.60920478746,0.00925584834151,0.0397004680092,0.176764006667,0.165074889522
6,0.506040697772,0.00819363278551,0.0438855185351,0.285217074534,0.156663076374
7,0.245053939059,0.0106014813314,0.0648297184592,0.501535210212,0.177979650938
8,0.615469536917,0.004731510512,0.0430119566995,0.101037644596,0.235749351275
9,0.65590719402,0.00351379566653,0.0160263428725,0.104162868295,0.220389799146
10,0.610753108332,0.00203899728043,0.0405166966899,0.16793852847,0.178752669227
11,0.648720662932,0.00441424657441,0.0192039313929,0.109003715612,0.218657443488
12,0.0461199956027,0.00885431996041,0.120937204583,0.112067864702,0.712020615152
13,0.633632709129,0.0041292035348,0.0386522342304,0.104819467476,0.21876638563
14,0.616520254369,0.00999442753155,0.039942516641,0.188744223847,0.144798577612
15,0.637440921858,0.00412736646473,0.0447926525607,0.194949875341,0.118689183776
16,0.652501188214,0.00341553793688,0.018381503091,0.107153957909,0.218547812849
17,0.372214834255,0.00977947564622,0.0488136685499,0.417033487893,0.152158533656
18,0.596789414063,0.00833214530978,0.0436474393652,0.207340426163,0.143890575098
19,0.53982633128,0.00814045417519,0.0410626115163,0.260871740606,0.150098862422
20,0.0571560234638,0.00850415044622,0.0800681012013,0.3072642401,0.547007484789
21,0.626221977952,0.0109356665481,0.0416456463267,0.19373928293,0.127457426244
22,0.00645434780616,0.0251356546144,0.133592024155,0.0406685113604,0.794149462064
23,0.624843672849,0.00376768827832,0.0412470688552,0.114477799603,0.215663770415
24,0.0361107823303,0.0286525632304,0.12390828869,0.0706362717424,0.740692094007
25,0.611874429423,0.00257214472821,0.0400429338137,0.146260591745,0.199249900291
26,0.628815995134,0.00456064835891,0.0409644647618,0.107655624582,0.218003267163
27,0.65798042474,0.00395801577367,0.0181628045619,0.0996054368673,0.220293318057
28,0.0962460152333,0.0218296122655,0.0718623247678,0.0665814845137,0.74348056322
29,0.571255196852,0.00736922938241,0.0414613500866,0.232459005563,0.147455218116
30,0.610159585081,0.00942058913444,0.0409193461692,0.179653016873,0.159847462742
31,0.428315610488,0.00924087817189,0.0463880622594,0.362737208644,0.153318240437
32,0.66984640308,0.00335203825582,0.0139097214413,0.096840060019,0.216051777204
33,0.604697217455,0.00886057573516,0.0404260272025,0.141484744289,0.204531435319
34,0.659479757235,0.00348983795192,0.0168026975902,0.10212724927,0.218100457953
35,0.0975506654626,0.0163629489528,0.0710572523315,0.0673207368435,0.74770839641
36,0.630372810867,0.00556660959597,0.0411139726918,0.103091437137,0.219855169708
37,0.297914325983,0.0144854472161,0.0650233857584,0.442062576359,0.180514264683
