"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"1",0.0183333333333333,0,0.0366666666666667,0.0916666666666667,0.853333333333333
"2",0.92,0,0,0.06,0.02
"3",0.13,0,0.00333333333333333,0.316666666666667,0.55
"4",0.175,0,0.0483333333333333,0.241666666666667,0.535
"5",0.466666666666667,0,0,0.516666666666667,0.0166666666666667
"6",0.0766666666666667,0,0,0.903333333333333,0.02
"7",0.483333333333333,0.0566666666666667,0.225,0.111666666666667,0.123333333333333
"8",0.898333333333333,0,0.00666666666666667,0.0133333333333333,0.0816666666666667
"9",0.9,0,0,0.0766666666666667,0.0233333333333333
"10",0.8,0,0.0216666666666667,0.171666666666667,0.00666666666666667
"11",0.858333333333333,0,0,0.0866666666666667,0.055
"12",0.01,0,0.151666666666667,0.11,0.728333333333333
"13",0.653333333333333,0,0.00166666666666667,0.07,0.275
"14",0.908333333333333,0,0.00166666666666667,0.00833333333333333,0.0816666666666667
"15",0.956666666666667,0,0,0.0433333333333333,0
"16",0.888333333333333,0,0,0.0916666666666667,0.02
"17",0.241666666666667,0,0.00666666666666667,0.683333333333333,0.0683333333333333
"18",0.53,0,0.00166666666666667,0.391666666666667,0.0766666666666667
"19",0.215,0.005,0.0133333333333333,0.206666666666667,0.56
"20",0.00666666666666667,0.00166666666666667,0.22,0.035,0.736666666666667
"21",0.7,0,0.00833333333333333,0.246666666666667,0.045
"22",0,0,0.0183333333333333,0,0.981666666666667
"23",0.895,0,0.00166666666666667,0.065,0.0383333333333333
"24",0,0,0.05,0,0.95
"25",0.815,0,0.005,0.106666666666667,0.0733333333333333
"26",0.0933333333333333,0.00166666666666667,0.135,0.0783333333333333,0.691666666666667
"27",0.921666666666667,0,0,0,0.0783333333333333
"28",0.0133333333333333,0.0516666666666667,0.23,0.005,0.7
"29",0.43,0,0.03,0.528333333333333,0.0116666666666667
"30",0.418333333333333,0,0.005,0.565,0.0116666666666667
"31",0.136666666666667,0.00333333333333333,0.02,0.103333333333333,0.736666666666667
"32",0.75,0,0,0.113333333333333,0.136666666666667
"33",0.141666666666667,0.0216666666666667,0.16,0.0666666666666667,0.61
"34",0.991666666666667,0.00333333333333333,0,0.005,0
"35",0.506666666666667,0.00333333333333333,0.01,0.00166666666666667,0.478333333333333
"36",0.635,0,0.035,0.115,0.215
"37",0.02,0.005,0.05,0.00333333333333333,0.921666666666667
"38",0.971666666666667,0,0,0.00666666666666667,0.0216666666666667
"39",0.246666666666667,0,0.0366666666666667,0.638333333333333,0.0783333333333333
"40",0.278333333333333,0.00333333333333333,0.0233333333333333,0.153333333333333,0.541666666666667
"41",0.0933333333333333,0,0.0383333333333333,0.198333333333333,0.67
"42",0,0.005,0.005,0,0.99
"43",0.298333333333333,0.00166666666666667,0.005,0.0433333333333333,0.651666666666667
"44",0,0.0266666666666667,0.01,0,0.963333333333333
"45",0.246666666666667,0.0283333333333333,0.16,0.0316666666666667,0.533333333333333
"46",0.46,0,0.0233333333333333,0.0916666666666667,0.425
"47",0.283333333333333,0.00833333333333333,0.03,0.226666666666667,0.451666666666667
"48",0.856666666666667,0,0.00833333333333333,0.0933333333333333,0.0416666666666667
"49",0.216666666666667,0,0.01,0.696666666666667,0.0766666666666667
"50",0.0383333333333333,0.005,0.06,0.286666666666667,0.61
"51",0.0166666666666667,0.00166666666666667,0.00333333333333333,0,0.978333333333333
"52",0.165,0,0.005,0.788333333333333,0.0416666666666667
"53",0.965,0,0.00166666666666667,0.00666666666666667,0.0266666666666667
"54",0.238333333333333,0.00166666666666667,0.00666666666666667,0,0.753333333333333
"55",0.00333333333333333,0.01,0.463333333333333,0.00333333333333333,0.52
"56",0.388333333333333,0,0.0533333333333333,0.228333333333333,0.33
"57",0.565,0.00333333333333333,0,0.418333333333333,0.0133333333333333
"58",0,0.0233333333333333,0.0116666666666667,0,0.965
"59",0,0,0.04,0,0.96
"60",0.736666666666667,0,0.00166666666666667,0.01,0.251666666666667
"61",0.898333333333333,0,0.00333333333333333,0.0166666666666667,0.0816666666666667
"62",0.0766666666666667,0,0.00666666666666667,0.855,0.0616666666666667
"63",0.39,0,0,0.215,0.395
"64",0,0.0116666666666667,0.0116666666666667,0,0.976666666666667
"65",0,0.00166666666666667,0.00333333333333333,0,0.995
"66",0.925,0,0,0.0683333333333333,0.00666666666666667
"67",0.798333333333333,0,0,0.00166666666666667,0.2
"68",0.0983333333333333,0.005,0.203333333333333,0.336666666666667,0.356666666666667
"69",0.426666666666667,0,0.00666666666666667,0.485,0.0816666666666667
"70",0,0,0.005,0,0.995
"71",0.00833333333333333,0.0133333333333333,0.0283333333333333,0.0216666666666667,0.928333333333333
"72",0.97,0,0,0.0233333333333333,0.00666666666666667
"73",0,0.015,0.045,0,0.94
"74",0.271666666666667,0,0.00333333333333333,0.498333333333333,0.226666666666667
"75",0,0.00333333333333333,0.005,0,0.991666666666667
"76",0.565,0.00166666666666667,0.141666666666667,0.005,0.286666666666667
"77",0.788333333333333,0,0,0.00166666666666667,0.21
"78",0.00666666666666667,0,0.045,0,0.948333333333333
"79",0.316666666666667,0,0.045,0.426666666666667,0.211666666666667
"80",0.968333333333333,0.00166666666666667,0,0.025,0.005
"81",0.00166666666666667,0.00333333333333333,0.00833333333333333,0,0.986666666666667
"82",0,0,0,0,1
"83",0.756666666666667,0,0.005,0.22,0.0183333333333333
"84",0,0,0.0566666666666667,0.005,0.938333333333333
"85",0.466666666666667,0,0.0433333333333333,0.401666666666667,0.0883333333333333
"86",0.0183333333333333,0.0516666666666667,0.203333333333333,0.005,0.721666666666667
"87",0.0266666666666667,0,0.215,0.54,0.218333333333333
"88",0.793333333333333,0,0.00166666666666667,0.07,0.135
"89",0.00166666666666667,0,0.205,0.13,0.663333333333333
"90",0.746666666666667,0,0.00166666666666667,0.00166666666666667,0.25
"91",0,0,0.0533333333333333,0,0.946666666666667
"92",0,0,0.04,0,0.96
"93",0.738333333333333,0,0,0.00166666666666667,0.26
"94",0.596666666666667,0,0.0166666666666667,0.355,0.0316666666666667
"95",0.0133333333333333,0.0116666666666667,0.0216666666666667,0.00166666666666667,0.951666666666667
"96",0.87,0,0,0.116666666666667,0.0133333333333333
"97",0.543333333333333,0,0.00833333333333333,0.368333333333333,0.08
"98",0,0,0,0,1
"99",0.505,0.00333333333333333,0.01,0.00166666666666667,0.48
"100",0.405,0,0.00833333333333333,0.4,0.186666666666667
"101",0.618333333333333,0,0,0.00333333333333333,0.378333333333333
"102",0.961666666666667,0,0.00166666666666667,0.0316666666666667,0.005
"103",0.321666666666667,0,0.0666666666666667,0.36,0.251666666666667
"104",0.615,0,0.0166666666666667,0.111666666666667,0.256666666666667
"105",0.341666666666667,0.00166666666666667,0.01,0.206666666666667,0.44
"106",0.876666666666667,0,0.00333333333333333,0.055,0.065
"107",0.528333333333333,0,0.00333333333333333,0.45,0.0183333333333333
"108",0.0216666666666667,0,0.0816666666666667,0.441666666666667,0.455
"109",0.953333333333333,0,0,0.0333333333333333,0.0133333333333333
"110",0.216666666666667,0.00166666666666667,0.0466666666666667,0.221666666666667,0.513333333333333
"111",0.47,0,0.02,0.463333333333333,0.0466666666666667
"112",0.806666666666667,0,0,0.125,0.0683333333333333
"113",0.261666666666667,0,0.065,0.465,0.208333333333333
"114",0.0483333333333333,0,0.00333333333333333,0.786666666666667,0.161666666666667
"115",0,0,0,0,1
"116",0.77,0,0.00166666666666667,0.075,0.153333333333333
"117",0.878333333333333,0,0.00333333333333333,0.095,0.0233333333333333
"118",0.00833333333333333,0,0.105,0.373333333333333,0.513333333333333
"119",0.0816666666666667,0.00166666666666667,0.0383333333333333,0.816666666666667,0.0616666666666667
"120",0.378333333333333,0.005,0.0516666666666667,0.0466666666666667,0.518333333333333
"121",0.675,0,0,0.00333333333333333,0.321666666666667
"122",0.971666666666667,0,0,0.00666666666666667,0.0216666666666667
"123",0.991666666666667,0,0,0.00166666666666667,0.00666666666666667
"124",0,0.00333333333333333,0,0,0.996666666666667
"125",0.00166666666666667,0,0.025,0.035,0.938333333333333
"126",0.916666666666667,0,0,0.065,0.0183333333333333
"127",0.00166666666666667,0.00333333333333333,0.275,0.00166666666666667,0.718333333333333
"128",0.808333333333333,0,0,0.0683333333333333,0.123333333333333
"129",1,0,0,0,0
"130",0.968333333333333,0,0,0.0283333333333333,0.00333333333333333
"131",0.62,0,0.00166666666666667,0.34,0.0383333333333333
"132",1,0,0,0,0
"133",0.765,0,0.00666666666666667,0.01,0.218333333333333
"134",0.323333333333333,0,0.0183333333333333,0.523333333333333,0.135
"135",0.761666666666667,0,0.0333333333333333,0.035,0.17
"136",0.315,0,0,0.668333333333333,0.0166666666666667
"137",0.455,0,0.0466666666666667,0.065,0.433333333333333
"138",0,0.00166666666666667,0.0283333333333333,0,0.97
"139",0.5,0,0.00166666666666667,0.4,0.0983333333333333
"140",0.0483333333333333,0,0.00333333333333333,0.03,0.918333333333333
"141",0.698333333333333,0,0.00333333333333333,0.148333333333333,0.15
"142",0.125,0,0,0,0.875
"143",0.306666666666667,0,0.0166666666666667,0.476666666666667,0.2
"144",0.271666666666667,0,0.0166666666666667,0.491666666666667,0.22
